Meter	Temperature	Radiation
8764547,5	17,14001424	87,64912923
8764952,47	17,45284337	108,7030029
8765487,571	18,18089842	149,0117321
8766121,565	18,87005455	188,9057159
8766759,863	19,16393475	209,3815816
8767386,085	19,31157997	214,2198995
8768012,913	19,62192938	241,3268941
8768659,639	20,51655019	300,1404826
8769326,227	20,45343203	365,4181569
8769993,208	20,60867926	301,5094604
8770660,259	21,69115845	340,7316793
8771327,554	22,7001497	489,1185074
8771996,292	23,25556911	544,5211283
8772663,451	23,93477987	588,7707723
8773328,734	24,72273496	635,8244171
8773993,689	25,41456694	673,6357218
8774658,944	26,01607416	709,5354818
8775277,191	26,45097288	744,5540517
8775611,251	26,82942139	776,5124105
8775755,733	27,31566294	806,8470662
8775757,717	27,69280267	836,2158457
8775758	28,03239307	866,4713745
8775758	28,38589268	893,8292847
8775758	28,49600281	918,3346761
8775758	28,7838433	943,9974162
8775758	29,05673544	968,3722331
8775758	29,44456915	989,861852
8775758	29,89912372	1002,925171
8775758	30,2478235	1011,611857
8775758	30,61098365	1017,791748
8775758	30,84306886	1026,764364
8775758	31,15582514	1041,620443
8775758	31,59360534	1052,135793
8775758	31,54575724	1004,098714
8775758	31,6747117	965,3215942
8775758	31,67065792	935,6820272
8775758	31,29223771	846,7555949
8775758	31,72034793	857,5988363
8775758	31,63034202	939,9545949
8775758	31,20648722	793,4805501
8775837,93	31,2262329	695,7774862
8775998,675	31,22574419	666,2552109
8776164,72	30,87808479	524,3619792
8776329,121	30,60169598	417,0585938
8776471,011	30,45433856	366,9178391
8776492,998	30,30111314	339,8428345
8776494	30,37309931	332,0437419
8776494	30,34443494	331,904864
8776494	30,24408059	285,1375529
8776494	30,02784587	211,5574697
8776494	29,66412534	127,2175789
8776494	29,45709957	92,56704203
8776494	25,14397317	65,42362213
8776494	19,34094676	44,92592621
8776494	18,1394933	68,94922638
8776494	17,58886782	95,78505198
8776494	17,69585416	112,2579727
8776494	17,78362589	94,19930776
8776494	18,08558656	80,18586222
8776494	18,3124863	73,70281283
8776494	18,1377606	53,59923808
8776494	18,09438654	37,65075175
8776497,6	18,2227294	28,21421631
8776522,8	18,20251878	19,29833031
8776545,8	17,93421102	12,45720116
8776560,85	17,91069324	7,732474844
8776563	18,03184019	3,778273741
8776563	18,03726448	1,485826492
8776563	18,20049975	0,761042158
8776563	18,21465669	0,242237409
8776563	18,04298387	0
8776563	17,68864813	0
8776563	16,99011074	0
8776563	16,99134295	0
8776563	17,19096121	0
8776563	17,29575794	0
8776563	17,04121776	0
8776563	16,87580889	0
8776563	16,95160557	0
8776563	17,07723753	0
8776563	17,11213564	0
8776563	17,1154629	0
8776563	17,13894545	0
8776563	17,18440837	0
8776563	17,42404885	0
8776563	18,55578207	0,068867589
8776563	19,34672059	0,21606374
8776563	19,1539291	0,420025731
8776563	18,71608886	0,351158142
8776563	17,75843569	0,043894768
8776563	17,45855647	0
8776563	17,28992312	0
8776563	17,22356358	0
8776563	17,20123063	0
8776563	17,25540109	0
8776563	17,31581161	0
8776563	17,33678914	0
